"tract","yr_id","full_name","jobs"
"123.03","2010","Finance and Real Estate","0"
"123.03","2010","Professional and Business Services","0"
"123.03","2010","Education and Healthcare","0"
"123.03","2010","Leisure and Hospitality","0"
"123.03","2010","Office Services","0"
"123.03","2010","Government","0"
"123.03","2010","Self-Employed","0"
"123.04","2010","Military","0"
"123.04","2010","Agriculture and Mining","0"
"123.04","2010","Construction","0"
"123.04","2010","Manufacturing","0"
"123.04","2010","Wholesale Trade","0"
"123.04","2010","Retail Trade","0"
"123.04","2010","Transporation, Warehousing, and Utilities","0"
"123.04","2010","Information","0"
"123.04","2010","Finance and Real Estate","0"
"123.04","2010","Professional and Business Services","0"
"123.04","2010","Education and Healthcare","0"
"123.04","2010","Leisure and Hospitality","0"
"123.04","2010","Office Services","0"
"123.04","2010","Government","0"
"123.04","2010","Self-Employed","0"
"124.01","2010","Military","0"
"124.01","2010","Agriculture and Mining","0"
"124.01","2010","Construction","0"
"124.01","2010","Manufacturing","0"
"124.01","2010","Wholesale Trade","0"
"124.01","2010","Retail Trade","0"
"124.01","2010","Transporation, Warehousing, and Utilities","0"
"124.01","2010","Information","0"
"124.01","2010","Finance and Real Estate","0"
"124.01","2010","Professional and Business Services","0"
"124.01","2010","Education and Healthcare","0"
"124.01","2010","Leisure and Hospitality","0"
"124.01","2010","Office Services","0"
"124.01","2010","Government","0"
"124.01","2010","Self-Employed","0"
"124.02","2010","Military","0"
"124.02","2010","Agriculture and Mining","0"
"124.02","2010","Construction","0"
"124.02","2010","Manufacturing","0"
"124.02","2010","Wholesale Trade","0"
"124.02","2010","Retail Trade","0"
"124.02","2010","Transporation, Warehousing, and Utilities","0"
"124.02","2010","Information","0"
"124.02","2010","Finance and Real Estate","0"
"124.02","2010","Professional and Business Services","0"
"124.02","2010","Education and Healthcare","0"
"124.02","2010","Leisure and Hospitality","0"
"124.02","2010","Office Services","0"
"124.02","2010","Government","0"
"124.02","2010","Self-Employed","0"
"125.01","2010","Military","0"
